emotion|text
sadness|Test to predict breast cancer relapse is approved
surprise|Two Hussein allies are hanged, Iraqi official says
surprise|Sights and sounds from CES
joy|Schuey sees Ferrari unveil new car
joy|Closings and cancellations top advice on flu outbreak
anger|Trucks swallowed in subway collapse
surprise|Sarkozy letter surprises French cartoons hearing
fear|Building a memorial to a son, one child at a time
sadness|Lawmaker seeks iPod ban in crosswalks in New York
sadness|Diabetic waits months for eyeglasses
surprise|Sudan tells United Nations envoy to leave in 72 hours
surprise|5000 years on but couple still hugging
disgust|Defense to challenge Russert's credibility
surprise|Ozzy, a Hero for the hard-rocking masses
anger|CIA leak trial summary
joy|Dance movie takes over No. 1
surprise|Asian nations urge Myanmar reform
anger|After Iraq trip, Clinton proposes war limits
sadness|7 dead in apartment building fire
surprise|Male sweat boosts women's hormone levels
anger|Carphone Warehouse's mixed signals
sadness|Democrats plot Bush troop increase censure
disgust|Cisco sues Apple over iPhone name
disgust|BB star Jackson denies Goody comments
surprise|Inter Milan set Serie A win record
surprise|US Airways boosts bid for Delta
joy|Press sees hope in Mecca talks
surprise|Bears fan loses bet and changes name
disgust|Global National	Major child porn ring bust
surprise|'Human hair' clue in hunt for airliner
sadness|Johnny Depp to make movie of spy poisoning
disgust|Really?: The claim: the pill can make you put on weight
surprise|5 money makeovers
fear|TBS to pay $2M fine for ad campaign bomb scare
joy|"Stomp the Yard" has winning moves in its weekend debut
surprise|Discovered boys bring shock, joy
sadness|Bernhard set to leave Volkswagen
sadness|Pacers' Jackson misses gun hearing
joy|Cases: when the simple solution is the right one
disgust|Two Muslim groups sue French newspaper International
joy|Golden Globes on their way
joy|At New OZZFEST, Freedom Ain't Free
sadness|Federer handed tough Aussie draw
sadness|Protesters end strike as Nepal PM concedes demands
fear|Turner pays for Boston "bombing"
joy|Two detained in body parts mailing
anger|Essay: about that mean streak of yours: psychiatry can do only so much
sadness|Hussein's niece pleads for father's life
surprise|Sarkozy heads for clash in cartoons row
anger|Global web of suspects in child-rape download
anger|Blake defeats Moya to retain title
disgust|Storms kill, knock out power, cancel flights
joy|Aquarium puts ailing beluga whale to sleep
fear|Microsoft, Sony, we have a problem
sadness|A police state? The issues
surprise|Move to ban iPods from crossing the street
joy|India's Taj Mahal gets facelift
surprise|Cheney to Congress: Can't run Iraq war by committee
fear|Ganguly handed India squad call-up
joy|Fortune: Looking beyond the iPhone
fear|Really?: The claim: the back seat of a car is the safest place to sit
disgust|Vaccine mandate upsets legislators
disgust|News analysis: Iranian boast is put to test
fear|Panel issues bleak report on climate change
joy|Virtual 'American Idol' hits right notes
sadness|Iraq car bombings kill 22 People, wound more than 60
joy|'Stomp' steps to No. 1 at box office
joy|Google executive acts as goodwill envoy
surprise|Filipino woman kidnapped in Nigeria
fear|Seahawks, Bears vie for shot at NFL title
anger|Brown not buried as estate issues loom
surprise|Will Rob Cohen Direct Third 'Mummy'?
anger|EU will urge China to go green
surprise|17th-Century Remedy; 21st-Century Potency
fear|Forecasters expect toasty 2007
joy|'Sunshine' Goydos wins Sony open
disgust|Teacher charged with sex assault
anger|Merck: Gardasil may fight more strains
fear|Mountain glaciers melting faster, United Nations says
anger|Snow causes airport closures in Britain
joy|Bananaconda inventor is top poet of kids
anger|Shareholders sue Apple
fear|Israelis retaliate after attack by Lebanese Army
fear|Deadly bird flu confirmed in British Turkeys
fear|Too little sleep may mean too fat kids
sadness|Bathing mom awakes to find baby dead
joy|Visitors to Eiffel Tower climb to record in 2006
surprise|More sleep, healthier slimmer children
joy|Queen battles Bond for Baftas
sadness|Walters on Trump: 'Poor, pathetic man'
fear|Ice storm smacks roads, power
fear|Iran says it will strike US interests if Attacked
joy|Palestinian factions to resume talks
joy|Study: men's sweat triggers high sexual arousal in women
surprise|Outcry at N Korea 'nuclear test'
fear|Russia plans major military build-up
surprise|Archaeologists find remains of couple locked in a hug
surprise|Stenson defends his title at Dubai
fear|Taking the plunge
surprise|Updates on world's top stories
surprise|Man rides stationary bike for 85 hours
fear|Ice storm coating Midwest
anger|A Mistrial for Lieut. Watada
fear|Iran warns will hit back at US if attacked
sadness|ASEAN talks end on energy-security
sadness|Iraqi death toll exceeded 34,000 in 2006, United Nations says
surprise|Israel intensifies military flights over Lebanon
joy|New gadgets galore at tech show
sadness|Another death at Georgia Aquarium
fear|US to urge Nato Afghan spring offensive
disgust|UK letter bombs may be from extremist drivers
surprise|Asia seeks breakthrough on North Korea
surprise|Federer overcomes a ragged start
joy|Rowdy fans ejected from the Open
joy|Terai protesters hail 'historic' victory over government
anger|Anger at release of two held over beheading plot
anger|Bush adamant on troops to Iraq
